,Code,Name,PER,PBR,ROE,배당수익률,배당성향,Average Daily Return,Average Daily Volatility,Sharpe Ratio
0,002900,TYM,0.0803056291907064,0.01734104046242775,0.5206515415939499,0.8761329305135951,0.10377701107681132,0.0013320592037630338,0.03508773913970621,0.037963665839490936
1,017550,수산중공업,0.1843131139872135,0.09248554913294797,0.36998254799301916,0.14199395770392748,0.03359360813510078,0.0013522802164291996,0.03687061364048804,0.03667636860115193
2,013000,세우글로벌,0.19320130983938877,0.10115606936416184,0.3577661431064572,0.0,0.0,0.00027284146876679444,0.03670288088256244,0.007433788907192339
3,133820,화인베스틸,0.0,0.06647398843930637,,0.0,0.0,0.0006256905998145193,0.03258683036506568,0.019200719824695907
4,001770,SHD,0.3569312334320911,0.0,0.10005817335660266,0.14199395770392748,0.9999999999999999,0.001183181366449202,0.030004740002001415,0.039433148441555564
5,058610,에스피지,1.0,0.5491329479768786,0.21815008726003488,0.1691842900302115,0.3662611222080988,0.0012783012016448615,0.030908679614024465,0.041357353908603935
6,095660,네오위즈,0.13488227038827383,0.12427745664739882,0.5753344968004653,0.27794561933534745,0.09315416742327945,0.001570272340123862,0.034514264239213055,0.0454963295535013
7,243840,신흥에스이씨,0.18337751442382663,0.24277456647398843,0.5433391506689935,0.27794561933534745,0.11512620301434537,0.0009711582826315064,0.03002244763138326,0.03234773841744765
8,054450,텔레칩스,0.23327615780445973,0.2832369942196532,0.5578824898196625,0.18126888217522658,0.04276375522062829,0.0007993228145066939,0.03353927443424174,0.02383244205457914
9,203650,드림시큐리티,0.1351941369094028,0.2803468208092486,0.9936009307737054,0.0,0.0,0.000566948153938341,0.034436361615838025,0.016463648519638885
10,093640,케이알엠,0.0,0.5144508670520231,,0.0,0.0,0.0007383690862948165,0.035504898701591465,0.02079625948240545
11,123410,코리아에프티,0.08311242788086701,0.1329479768786127,1.0,1.0,0.09932812783729797,0.00040705470753157105,0.03515388027466939,0.011579225517954555
12,149980,하이로닉,0.2643068766567909,0.5549132947976879,0.8615474112856311,0.0,0.0,0.0013449710915834404,0.03720399194925664,0.03615125746231417
13,054780,키이스트,0.0,0.5028901734104047,0.0,0.0,0.0,0.0006093379187751785,0.036063557786791545,0.016896223117463787
14,086670,비엠티,0.27506627163573993,0.15895953757225434,0.314717859220477,0.5619335347432024,0.12293444706736878,0.0012865801821877816,0.031003639338881703,0.041497714772287385
15,091440,한울소재과학,0.0,1.0,0.0,0.0,0.0,0.00047360086273115173,0.03524916192707409,0.013435804905403708
16,096610,알에프세미,0.0,0.9132947976878614,0.0,0.0,0.0,5.019125605839439e-05,0.037746822121514104,0.0013296816324515827
17,025880,케이씨피드,0.08576329331046313,0.06069364161849709,0.663176265270506,0.9093655589123866,0.1620664608679862,0.0009342565886271572,0.035976140700447475,0.02596878293328269
18,060540,에스에이티,0.7335100576953065,0.06358381502890174,0.07562536358347877,0.5619335347432024,0.7317051025966951,0.0005386985164442311,0.028369886055803276,0.018988391965502317
19,196700,웹스,0.14439419928270703,0.06358381502890174,0.3949970913321698,0.0,0.0,0.0013623045356390316,0.03913722388245966,0.03480841001217726
20,000490,대동,0.0,0.03757225433526011,0.0,0.1782477341389728,0.12284365353186852,0.0007833229197813846,0.030999592644062834,0.025268813328468358
